path,gt,pred,confidence,cer,exact
image01\line_006.png,3/12/2026,ගෘහ - ප - ව.,0.8919389247894287,1.2222222222222223,False
image01\line_010.png,උපදෙස් කියවා ප්‍රතිචාර දක්වමු,උපදෙස් කියවා ප්රතිචාර දක්වමු.,0.9968771934509277,0.10526315789473684,False
image01\line_015.png,පහත සඳහන් වාක්‍යවලට සුදුසු විරාම,පහත සඳහන් වාක්යවල සුදුසු විරාම,0.9829986691474915,0.08695652173913043,False
image01\line_020.png,ලකුනු යොදා වාක්‍ය නැවත ලියන්න,ලකුනු යොදා වාක්ය නැවත ලියන්න,0.9966514706611633,0.05263157894736842,False
image01\line_022.png,. මම පාසල් යමි,මම පාසල් යමි,0.9955318570137024,0.18181818181818182,False
image01\line_023.png,පුතේ මෙහාට එන්න යැයි,පුතේ මෙහාට එන්න යැයි,0.9951613545417786,0.0,True
image02\line_001.png,"යම් අවස්ථාවක්, සිද්ධියක් දෙස බලා සිට","යම් අවස්ථාවක්, සිද්ධියක් දෙස බලා සිට",0.9972105026245117,0.0,True
image02\line_002.png,පිළිබඳ ව විස්තර කර දීම විස්තර කථන,පිළිබඳ ව විස්තර කර දීම විස්තර කථන,0.9973339438438416,0.0,True
image02\line_003.png,"උදා: ක්‍රිකට්, ෆුට්බෝල් වැනි ක්‍රීඩා පැවැත්වෙන","උදා : ක්රිකට්, ෆුට්බෝල් වැනි ක්රීඩා පැවැත්වෙන",0.998245120048523,0.1111111111111111,False
image02\line_007.png,* පාසලේ පැවැත්වෙන ක්‍රීඩා උත්සවයක්,පාසලේ පැවැත්වෙන ක්රීඩා උත්සවයක්,0.9868291020393372,0.13636363636363635,False
image02\line_009.png,* ගොඩනැගිල්ලක් විවෘත කිරීමක්,ගොඩනැගිල්ලක් විවෘත කිරීමක්,0.9949634671211243,0.1111111111111111,False
image02\line_014.png,* පොළක,පොළක,0.9936226010322571,0.4,False
image02\line_017.png,* පෙරහැරක් . . . .ආද,පෙරහැරක්,0.9938262701034546,0.7058823529411765,False
image03\line_007.png,1 පරිප්පු,පරිප්පු,0.9897103309631348,0.3333333333333333,False
image03\line_011.png,2 සාක්කුව,සාක්කුව,0.993835985660553,0.3333333333333333,False
image03\line_018.png,3 ආභරණ,අතරමඟ,0.6041305661201477,1.0,False
image03\line_022.png,4 අරුතිනි,අරුතිනි,0.9925127029418945,0.3333333333333333,False
image03\line_026.png,5 අනුසාරයෙනි,අනුසාරයෙනි,0.9554163813591003,0.25,False
image03\line_028.png,6 දකුණු පළාත්,දකුණු පළාත්,0.987804114818573,0.2222222222222222,False
image03\line_030.png,7 පියාසර,පියාසර,0.9899768233299255,0.3333333333333333,False
image03\line_032.png,8 අවුළුවන්ට,අවුළුවන්ට,0.9950255751609802,0.25,False
image03\line_034.png,9 ව්‍යහාරයේ,ව්යහාරයේ,0.9946637749671936,0.42857142857142855,False
image03\line_036.png,10 අවස්ථා,අවස්ථා,0.9839372634887695,0.42857142857142855,False
image04\line_001.png,නෙළුම් මල් - සියපත්,නෙළුම් මල් සියපත්,0.9961117506027222,0.15384615384615385,False
image04\line_013.png,නෙළුම් මල් - සියපත්,නෙළුම් මල් සියපත්,0.9958425164222717,0.15384615384615385,False
image05\line_006.png,පැමිණීම - නොපැමිණීම,පැමිණීම නොපැමිණීම,0.9943291544914246,0.16666666666666666,False
image05\line_008.png,අවශ්‍ය - අනවශ්‍ය,අවශ්ය අනවශ්ය,0.9928888082504272,0.3333333333333333,False
image05\line_014.png,පුහුණු - නුපුහුණු,පුහුණු නුහුණු,0.8592354655265808,0.3,False
image05\line_022.png,නිවැරදි - වැරදි,නිවැරදි වැරදි,0.9925507307052612,0.2,False
image05\line_024.png,අලුත් - පරණ,අලුත් පරණ,0.9940724968910217,0.2222222222222222,False
image06\line_002.png,ඇඟ බේරගන්න - වගකීමෙන් බේරීම.,ඇඟ බේරගන්න වගකීමෙන් බේරීම.,0.9971281886100769,0.09523809523809523,False
image06\line_004.png,හීන් දාඩිය දැම්මා - දැඩි සේ බියට පත් වීම.,හීන් දාඩිය දැම්මා දැඩි සේ බියට පත් වීම.,0.9977840781211853,0.07142857142857142,False
image06\line_005.png,අහස් මාලිග - ඉටු නොවන සිහින මැවීම .,අහස් මාලිග ඉටු නොවන සිහින මැවීම.,0.9978330731391907,0.11538461538461539,False
image06\line_007.png,අබමල් රේණුවක් - ඉතාම කුඩා ප්‍රමාණ්‍යක් .,අබමල් රේණුවක් ඉතාම කුඩා ප්රමාණ්යක්.,0.9976977109909058,0.18518518518518517,False
image06\line_008.png,මුරුංගා අත්තේ තියනවා - රවටනු පිණිස,මුරුංගා අත්තේ තියනවා රවටනු පිණිස,0.9978475570678711,0.08695652173913043,False
image07\line_007.png,කර උස්සා අප දෙස බලා සිටින මිනිසුන් මෙන්,කර උස්සා අප දෙස බලා සිටින මිනිසුන් ඔබ,0.951056182384491,0.07407407407407407,False
image07\line_012.png,හෙලිකොප්ටර් යානා පරිද්දෙනි .,හෙලිකොප්ටර් යානා පරිද්දෙනි.,0.9956885576248169,0.058823529411764705,False
image07\line_014.png,ගඟ දෙපස සිටින මුරකරුවන් වැන්න.,ගඟ දෙපස සිටින මුරකරුවන් වැන්න.,0.9973146319389343,0.0,True
image07\line_015.png,ගඟ හා රහස් කොඳුරන ලෙසිනි .,ගඟ හා රහස් කොඳුරන ලෙසිනි.,0.9863872528076172,0.05263157894736842,False
image07\line_017.png,අඬු විහිඳාගත් දැවැන්ත සතෙකු මෙනි.,අඬු විහිඳාගත් දැවැන්ත සතෙකු මෙනි.,0.9980120062828064,0.0,True
image08\line_002.png,විස්තර කථන,විස්තර කථන,0.9950925707817078,0.0,True
image08\line_005.png,"යම් අවස්ථාවක්, සිද්ධියක් දෙස බලා සිට ඒ","යම් අවස්ථාවක්, සිද්ධියක් දෙස බලා සිට ඒ",0.9815394878387451,0.0,True
image08\line_010.png,පිළිබඳ විස්තර කර දීම විස්තර කථනයක්,පිළිබඳ විස්තර කර දීම විස්තර කථනයක්,0.9974381327629089,0.0,True
image08\line_012.png,ලෙසින් හඳුන්වයි .,ලෙසින් හඳුන්වයි.,0.9946101307868958,0.09090909090909091,False
image08\line_014.png,"උදා:- ක්‍රිකට්, ෆුට්බෝල් වැනි ක්‍රීඩා පැවැත්වෙ","උදා : - ක්රිකට්, ෆුට්බෝල් වැනි ක්රීඩා පැවැත්වෙ",0.9983394145965576,0.14814814814814814,False
image08\line_015.png,පාසලේ පැවැත්වෙන ක්‍රීඩා උත්සවයක්,පාසලේ පැවැත්වෙන ක්රීඩා උත්සවයක්,0.9964420199394226,0.05,False
image08\line_016.png,ගොඩනැගිල්ලක් විවෘත කිරීමක්,ගොඩනැගිල්ලක් විවෘත කිරීමක්,0.9948735237121582,0.0,True
image08\line_020.png,පොළක්,පොළක්,0.9919180870056152,0.0,True
image08\line_024.png,පෙරහැරක . . . .,පෙරහැරක,0.9939958453178406,0.6153846153846154,False
image09\line_006.png,කර උස්සා අප දෙස බලා සිටින මිනිසුන් මෙනි,කර උස්සා අප දෙස බලා සිටින මිනිසුන් මෙනි,0.997945249080658,0.0,True
image09\line_016.png,හෙලිකොප්ටර් යානා පරිද්දෙනි .,හෙලිකොප්ටර් යානා පරිද්දෙනි.,0.9966334104537964,0.058823529411764705,False
