ACT_ID,sentence_id
ACT001,001
ACT001,002
ACT001,003
ACT001,004
ACT001,005
ACT001,006
ACT001,007
ACT001,008
ACT001,009
ACT001,010
ACT001,011
ACT001,012
ACT001,013
ACT001,014
ACT001,015
ACT001,016
ACT001,017
ACT001,018
ACT001,019
ACT001,020
ACT001,021
ACT001,022
ACT001,023
ACT001,024
ACT001,025
ACT001,026
ACT001,027
ACT001,028
ACT001,029
ACT001,030
ACT001,031
ACT001,032
ACT001,033
ACT001,034
ACT001,035
ACT001,036
ACT001,037
ACT001,038
ACT001,039
ACT001,040
ACT001,041
ACT001,042
ACT001,043
ACT001,044
ACT001,045
ACT001,046
ACT001,047
ACT001,048
ACT001,049
ACT001,050
ACT001,051
ACT001,052
ACT001,053
ACT001,054
ACT001,055
ACT001,056
ACT001,057
ACT001,058
ACT001,059
ACT001,060
ACT001,061
ACT001,062
ACT001,063
ACT001,064
ACT001,065
ACT001,066
ACT001,067
ACT001,068
ACT002,001
ACT002,002
ACT002,003
ACT002,004
ACT002,005
ACT002,006
ACT002,007
ACT002,008
ACT002,009
ACT002,010
ACT002,011
ACT002,012
ACT002,013
ACT002,014
ACT002,015
ACT002,016
ACT002,017
ACT002,018
ACT002,019
ACT002,020
ACT002,021
ACT002,022
ACT002,023
ACT002,024
ACT002,025
ACT002,026
ACT002,027
ACT002,028
ACT002,029
ACT002,030
ACT002,031
ACT002,032
ACT002,033
ACT002,034
ACT002,035
ACT002,036
ACT002,037
ACT002,038
ACT002,039
ACT002,040
ACT002,041
ACT002,042
ACT002,043
ACT002,044
ACT002,045
ACT002,046
ACT002,047
ACT002,048
ACT002,049
ACT002,050
ACT002,051
ACT002,052
ACT002,053
ACT002,054
ACT002,055
ACT002,056
ACT002,057
ACT002,058
ACT002,059
ACT002,060
ACT002,061
ACT002,062
ACT002,063
ACT002,064
ACT002,065
ACT002,066
ACT002,067
ACT002,068
ACT003,001
ACT003,002
ACT003,003
ACT003,004
ACT003,005
ACT003,006
ACT003,007
ACT003,008
ACT003,009
ACT003,010
ACT003,011
ACT003,012
ACT003,013
ACT003,014
ACT003,015
ACT003,016
ACT003,017
ACT003,018
ACT003,019
ACT003,020
ACT003,021
ACT003,022
ACT003,023
ACT003,024
ACT003,025
ACT003,026
ACT003,027
ACT003,028
ACT003,029
ACT003,030
ACT003,031
ACT003,032
ACT003,033
ACT003,034
ACT003,035
ACT003,036
ACT003,037
ACT003,038
ACT003,039
ACT003,040
ACT003,041
ACT003,042
ACT003,043
ACT003,044
ACT003,045
ACT003,046
ACT003,047
ACT003,048
ACT003,049
ACT003,050
ACT003,051
ACT003,052
ACT003,053
ACT003,054
ACT003,055
ACT003,056
ACT003,057
ACT003,058
ACT003,059
ACT003,060
ACT003,061
ACT003,062
ACT003,063
ACT003,064
ACT003,065
ACT003,066
ACT003,067
ACT003,068
ACT004,001
ACT004,002
ACT004,003
ACT004,004
ACT004,005
ACT004,006
ACT004,007
ACT004,008
ACT004,009
ACT004,010
ACT004,011
ACT004,012
ACT004,013
ACT004,014
ACT004,015
ACT004,016
ACT004,017
ACT004,018
ACT004,019
ACT004,020
ACT004,021
ACT004,022
ACT004,023
ACT004,024
ACT004,025
ACT004,026
ACT004,027
ACT004,028
ACT004,029
ACT004,030
ACT004,031
ACT004,032
ACT004,033
ACT004,034
ACT004,035
ACT004,036
ACT004,037
ACT004,038
ACT004,039
ACT004,040
ACT004,041
ACT004,042
ACT004,043
ACT004,044
ACT004,045
ACT004,046
ACT004,047
ACT004,048
ACT004,049
ACT004,050
ACT004,051
ACT004,052
ACT004,053
ACT004,054
ACT004,055
ACT004,056
ACT004,057
ACT004,058
ACT004,059
ACT004,060
ACT004,061
ACT004,062
ACT004,063
ACT004,064
ACT004,065
ACT004,066
ACT004,067
ACT004,068
ACT005,001
ACT005,003
ACT005,005
ACT005,006
ACT005,007
ACT005,008
ACT005,009
ACT005,012
ACT005,014
ACT005,016
ACT005,020
ACT005,023
ACT005,026
ACT005,028
ACT005,029
ACT005,030
ACT005,031
ACT005,032
ACT005,033
ACT005,034
ACT005,035
ACT005,036
ACT005,038
ACT005,039
